"","Symbol","Name","Sector","2020-01-02","2020-01-03","2020-01-06","2020-01-07","2020-01-08","2020-01-09","2020-01-10","2020-01-13","2020-01-14","2020-01-15","2020-01-16","2020-01-17","2020-01-21","2020-01-22","2020-01-23","2020-01-24","2020-01-27","2020-01-28","2020-01-29","2020-01-30","2020-01-31","2020-02-03","2020-02-04","2020-02-05","2020-02-06","2020-02-07","2020-02-10","2020-02-11","2020-02-12","2020-02-13","2020-02-14","2020-02-18","2020-02-19","2020-02-20","2020-02-21","2020-02-24","2020-02-25","2020-02-26","2020-02-27","2020-02-28","2020-03-02","2020-03-03","2020-03-04","2020-03-05","2020-03-06","2020-03-09","2020-03-10","2020-03-11","2020-03-12","2020-03-13","2020-03-16","2020-03-17","2020-03-18","2020-03-19","2020-03-20","2020-03-23","2020-03-24","2020-03-25","2020-03-26","2020-03-27","2020-03-30","2020-03-31","2020-04-01","2020-04-02","2020-04-03","2020-04-06","2020-04-07","2020-04-08","2020-04-09","2020-04-13","2020-04-14","2020-04-15","2020-04-16","2020-04-17","2020-04-20","2020-04-21","2020-04-22","2020-04-23","2020-04-24","2020-04-27","2020-04-28","2020-04-29","2020-04-30","2020-05-01","2020-05-04","2020-05-05","2020-05-06","2020-05-07","2020-05-08","2020-05-11","2020-05-12","2020-05-13","2020-05-14","2020-05-15","2020-05-18","2020-05-19","2020-05-20","2020-05-21","2020-05-22","2020-05-26","2020-05-27","2020-05-28","2020-05-29","2020-06-01","2020-06-02","2020-06-03","2020-06-04","2020-06-05","2020-06-08","2020-06-09","2020-06-10","2020-06-11","2020-06-12","2020-06-15","2020-06-16","2020-06-17","2020-06-18","2020-06-19","2020-06-22","2020-06-23","2020-06-24","2020-06-25","2020-06-26","2020-06-29","2020-06-30","2020-07-01","2020-07-02","2020-07-06","2020-07-07","2020-07-08","2020-07-09","2020-07-10","2020-07-13","2020-07-14","2020-07-15","2020-07-16","2020-07-17","2020-07-20","2020-07-21","2020-07-22","2020-07-23","2020-07-24","2020-07-27","2020-07-28","2020-07-29","2020-07-30","2020-07-31","2020-08-03","2020-08-04","2020-08-05","2020-08-06","2020-08-07","2020-08-10","2020-08-11","2020-08-12","2020-08-13","2020-08-14","2020-08-17","2020-08-18","2020-08-19","2020-08-20","2020-08-21","2020-08-24","2020-08-25","2020-08-26","2020-08-27","2020-08-28","2020-08-31","2020-09-01","2020-09-02","2020-09-03","2020-09-04","2020-09-08","2020-09-09","2020-09-10","2020-09-11","2020-09-14","2020-09-15","2020-09-16","2020-09-17","2020-09-18","2020-09-21","2020-09-22","2020-09-23","2020-09-24","2020-09-25","2020-09-28","2020-09-29","2020-09-30","2020-10-01","2020-10-02","2020-10-05","2020-10-06","2020-10-07","2020-10-08","2020-10-09","2020-10-12","2020-10-13","2020-10-14","2020-10-15","2020-10-16","2020-10-19","2020-10-20","2020-10-21","2020-10-22","2020-10-23","2020-10-26","2020-10-27","2020-10-28","2020-10-29","2020-10-30","2020-11-02","2020-11-03","2020-11-04","2020-11-05","2020-11-06","2020-11-09","2020-11-10","2020-11-11","2020-11-12","2020-11-13","2020-11-16","2020-11-17","2020-11-18","2020-11-19","2020-11-20","2020-11-23","2020-11-24","2020-11-25","2020-11-27","2020-11-30","2020-12-01","2020-12-02","2020-12-03","2020-12-04","2020-12-07","2020-12-08","2020-12-09","2020-12-10","2020-12-11","2020-12-14","2020-12-15","2020-12-16","2020-12-17","2020-12-18","2020-12-21","2020-12-22","2020-12-23","2020-12-24","2020-12-28","2020-12-29","2020-12-30","2020-12-31","2021-01-04","2021-01-05","2021-01-06","2021-01-07","2021-01-08","2021-01-11","2021-01-12","2021-01-13","2021-01-14","2021-01-15","2021-01-19","2021-01-20","2021-01-21","2021-01-22","2021-01-25","2021-01-26","2021-01-27","2021-01-28","2021-01-29","2021-02-01","2021-02-02","2021-02-03","2021-02-04","2021-02-05","2021-02-08","2021-02-09","2021-02-10","2021-02-11","2021-02-12","2021-02-16","2021-02-17","2021-02-18","2021-02-19","2021-02-22","2021-02-23","2021-02-24","2021-02-25","2021-02-26","2021-03-01","2021-03-02","2021-03-03","2021-03-04","2021-03-05"
"1","MMM","3M Company","Industrials",3601725,2466777,1996293,2172979,2758311,2746309,2103818,2090455,2911234,2482218,2149441,3690068,3367730,2419673,2357331,2641276,4358825,8917058,5343740,4355602,5738828,3925137,4362837,3117684,3412236,2734378,2754134,2275124,2733117,3413884,2233484,2478890,2296434,3274479,3535306,3635549,5262375,5151670,8217960,11498521,8021045,8292460,5771500,5884892,7153416,8186788,5649744,4747849,8212153,6578229,7436961,6533835,6853640,6365580,9582251,7920348,9304832,7740084,6716591,4261275,3867907,3612906,3777420,3778030,3586246,5625066,5495584,3068630,4783649,2641026,3317629,3042061,4163647,5392576,2891554,2331047,2749482,2584747,2246574,4638117,8288792,3974981,3664517,2926421,2228901,2268212,2167038,2800758,2169654,3033791,3026748,4800469,5894565,10111431,6016818,4059240,3427171,2818488,2661447,4615487,6054958,6730358,8632231,2083371,2333281,3671514,2880571,4527152,2986030,3161571,2545723,5015508,2998750,4093614,3386592,1714598,1806118,6405017,2016706,2301604,3041273,2059554,2826235,2145146,2941638,1627184,1982806,2098207,1571149,1661907,2189306,1954514,2216195,3197226,3468087,1800588,2551721,1789576,2756857,1899582,2695122,2524854,3198457,7738796,3322894,3112986,3266644,2265040,1848626,2723360,2885798,2184531,2272795,3764883,2079670,2884061,1607354,2065541,1519440,2012818,1990620,2005583,2604618,1938629,2503413,2325937,3046525,2881511,2901444,3943678,3481289,3266995,2863890,2721750,2054331,1698664,2264354,2056474,2932828,2756078,4084722,3911678,2103752,2248196,1569695,1949057,2098520,2026047,3056908,1989312,1769035,1457201,2022103,2155563,1902821,2015611,1533855,1575448,1435365,1638271,2478787,1910123,1813211,1511112,1663268,2137484,3338767,3894419,3065174,2680871,2234526,2116638,1896938,3140859,2178474,1685324,4418106,3500448,2884393,2217850,1813755,2434259,2589981,2615812,2986012,2657064,2065084,2936366,2052393,1267131,6141333,3851211,2421915,2377756,2663697,2526799,1731078,2790944,2228955,1875764,3700396,2270590,1949884,2327857,4682043,1704598,1381319,1762603,656184,1368489,1219160,1419086,1841338,2996278,2295297,3346410,5863373,4808130,2737062,2946318,2098001,2895434,3550695,3903171,2672491,2688484,2349343,3353099,5148862,8096996,4153707,4217186,2569687,2842984,2874467,1833193,1822437,2355218,1934314,1918724,2188357,1081644,1834033,1577877,2088619,2986839,2266157,2352428,2742552,2627717,3257517,1840081,2272478,2267840,3535732,2262764
"2","AOS","A.O. Smith Corp","Industrials",1093174,883209,1087927,883797,1119134,1065788,1707116,1448036,2154658,2630834,1687944,1815794,2663149,2142782,2146592,2235435,3440317,6386925,2517121,2195333,2789215,2547185,1287550,1189522,1285553,1361014,1269146,1475618,1420979,884963,1155934,1733868,1070262,937350,1218359,2262236,3753735,4449438,3527684,4720035,3068224,2739852,4984043,4313193,4555625,3661878,3242969,2325847,6775962,5280597,3430738,2883873,2294099,2806750,2301353,3217498,2655647,2799595,1775873,1809948,1780085,2031027,2217068,2000486,1262587,3000719,3942241,1502070,1849286,1155751,1505363,1501657,1443735,1296691,1086055,1240138,1398800,1546086,1236551,1599760,1325920,1818771,2208732,1197133,2002297,1460544,1370491,1308078,1156876,893818,1545540,1763485,1651404,4775295,1576727,1653620,1269438,835324,1103520,1639206,2183277,2323242,2662033,1067091,1017829,1224811,1705073,2078491,1618597,1709556,1302594,1167213,1163500,940414,1079013,825888,1102475,1458066,667416,967032,1369949,1552237,2639296,1030970,1091634,938589,1072848,779431,962697,874212,1013417,866189,1042998,729815,1303161,823542,607583,636236,886354,593194,635292,929149,1522724,1136463,1071465,3136954,2758750,1030073,1190936,1105311,997647,797429,699208,1220490,658583,541485,770487,666131,617530,658861,710130,719174,478473,491658,688096,772062,780562,1196771,778041,902442,632872,568369,1094447,1159258,811473,684811,782839,931370,924587,1947952,2328675,1325851,1096394,1337367,1735706,1911073,1719764,921155,1353613,959797,704442,825869,1246624,1352118,2232620,1683993,1266780,1406024,1005009,893228,1155181,835193,585476,1682487,1118884,773995,817210,764825,1270498,1686894,1448733,1062634,908755,678055,674901,943124,1425139,886788,755070,583146,827281,935183,934490,911341,615903,850848,1169723,1071248,956412,305790,2645821,1888687,1313999,1461675,983275,675079,1266738,1055364,827388,717023,871832,667720,1198794,1760886,1762428,769560,865722,797250,214998,485109,561441,536187,728922,1484671,754997,1386940,1072974,804014,749894,1028316,909700,1096773,1095216,1275171,922616,788343,1155453,1919161,1877398,3431156,3501948,2704920,1698581,1148167,813880,975354,931039,865641,789133,895601,874332,1063206,850138,715055,780297,1024231,1212424,1103481,1393170,1178923,1418681,1083407,1175399,1094139,1317262,1766459
"3","ABT","Abbott Laboratories","Health Care",4969010,4746990,5628760,3410259,5693921,6432488,4680395,5571466,8751365,5389712,5023276,5878516,7452658,9841181,7418383,4218696,4482196,4983705,3914155,5248069,5914100,4675835,3904607,3565530,4270721,4471582,4219417,2661851,3389418,4448837,3919808,4492280,3464882,3657471,5570900,5549762,7020747,7380110,8654811,16671866,11482075,9509961,8659982,9288681,10647611,10283749,9417312,11170130,13875031,18316924,14358919,13312835,17521875,14474315,15118925,13032018,10900888,9350991,10500949,8337903,47188125,23724192,12198224,10158402,9128727,12365596,10862460,9260631,10465284,6628959,9848217,14065376,26956892,16062581,17217172,12015847,8341549,10574455,9016057,6834753,7799430,7059500,7972622,6834998,5033385,6745272,4242943,7254904,6167595,7236440,5376588,11612046,8174111,13605613,7646517,7691365,7488783,6180830,5182655,6242815,5420584,5316326,10138477,5451193,6394128,8052501,9111006,11874292,5425755,4855702,5828446,8166344,5590268,5666045,6143306,4359078,5877867,9473307,5071192,4156936,6140726,5781100,8521862,4669327,5220806,3393193,3845601,5918359,3389249,3815692,4575929,2923137,4296566,4121080,6201206,7543256,8315379,5676584,5063453,4662048,5905762,4534668,3718001,4114163,4744441,3176855,4604259,3671149,2730588,4416036,3942990,3141906,2776738,4823354,2668968,2951812,2740192,4648235,3777618,2716887,3548902,3585115,3212943,2626522,2968816,36319012,17203952,6943209,7967973,5843679,6096925,5027723,5217691,4365102,4271232,4111262,3824100,3654948,4244419,4283743,7622454,4559845,4180254,4040141,7603993,5060317,5515469,4470770,9487040,7242069,5590462,3603415,3992611,4162751,4168512,3060733,4201819,4773555,4191903,3518987,4363766,4228515,3873504,5716007,4954280,3573013,7297958,4518049,7104939,4237622,4434640,5907062,3870091,7421211,5139894,5644486,13990710,5243650,3994005,2817539,3919070,4144862,3793137,4545668,3548144,4075245,4106070,7132516,6224141,1979001,5702327,4123895,3444892,3846363,4687048,6928011,6643598,5742446,4828615,4718995,6250041,5256843,4458721,3924302,10669778,4544274,3426649,3149690,1451492,2032245,2834686,2416104,2982245,6192221,4323126,5539612,5568900,4242160,3177736,5772814,6047106,4391349,4480173,6820328,2952325,5028068,4163905,4689256,4142373,9104907,11296279,10995345,8337131,7219728,4992031,4377982,5803596,3456083,3423345,4155101,3697423,3658831,5174034,3152914,5435012,6204206,4835500,5566064,4127524,3456853,5118019,3859195,4908215,5239587,6699630,4859525
"4","ABBV","AbbVie Inc.","Health Care",5638247,5988494,6782438,7242787,7696719,7517273,8581444,9273631,8876872,8490089,7073152,10086092,13551937,6438017,12265355,13213913,13816810,8609760,5703206,10840446,13862734,10143626,8248578,10018677,7753402,19084519,13995542,10680715,10586292,10609743,11174440,9406327,6348258,5441667,6675931,10702729,11358894,9786906,14177963,18449729,12170456,12656047,16588168,9687353,12660275,15800684,12957580,10381336,19868088,21854772,20875831,23197550,23790341,19735362,18841246,19201245,18364705,20010683,15978894,12289695,10669167,20472563,12941950,8067036,8059146,10257770,11589415,12214277,9422158,9287895,11070801,8977210,10308816,10732946,9124909,9624197,7032990,7889431,6770560,9208205,8339115,8229150,15524452,12704110,6830154,10870241,17039829,11929115,20187009,19213187,23453079,23558050,13370560,13625066,16300249,9889913,10659052,10391367,5505076,11867570,12528416,8765907,13758733,8483116,9410732,8584992,9523527,9627342,6618207,9553518,11126493,12575098,8009053,7120219,9364971,6210890,4569496,9153438,6002554,6713343,9024239,6405582,14567128,6676428,8110297,6527035,6586059,7037040,6351848,6154101,5810445,6209849,8503433,6757336,5660055,4269227,6890698,4822521,8241705,4441837,5127240,5169385,5030716,5941905,5511997,6411485,14614332,6920500,7865121,6932657,7269306,5227010,7623616,7208384,7705938,6004395,5488458,6765991,4557442,7671999,6798058,5268986,4103551,6709995,5682842,5271517,4938715,9932323,15817818,9139151,8921855,9444845,8563903,5373513,10403581,8385750,5212480,3851321,6307956,5604683,10076304,7328258,5306130,6252954,9980810,9935566,6306923,5510185,8209345,8777328,5554326,5984220,8743761,5899660,5535131,6005779,7314932,7851718,5864506,6193769,5362675,10287992,6933177,9776877,8081607,4238703,7986251,6705599,11480182,8876696,18095146,10781355,8518756,25848966,8012967,7006928,11028940,12267223,9476508,7649145,6890643,8611255,11593474,8880632,7550296,9684787,7546710,9303598,6368079,4418751,20726455,7480584,5492166,4693555,7235820,6532493,6688195,7350722,6285704,5205199,8272746,12101015,9182062,6360647,13906755,6664598,4003900,3659423,1378649,3730009,5096383,5328415,6148110,9523377,6823826,11017467,8196046,5345883,6334195,6019330,9821321,8268761,9196450,7723822,6554574,5416967,5185463,6928189,5554641,11887853,8534301,9380386,7518153,10419960,12101873,9077784,7250979,9201107,5482064,7410430,5090055,3738364,5637257,6913756,5386643,6702445,10048281,7058613,7626186,6012680,9155281,4710324,5487024,7218708,7503733,7277808
"5","ABMD","Abiomed","Health Care",734344,746102,1506438,991684,1122415,975770,1488312,3968041,1060297,1361620,896367,1023412,1054757,818699,625725,557906,567531,592522,711984,502792,430296,509292,526437,870818,1625521,1032096,1425950,847151,1728757,1281331,625251,626605,618058,697107,458662,746266,681279,798274,850836,1047407,743609,733079,559351,598196,737496,1039976,922711,1038251,1061030,1050309,1229524,1145519,969383,950567,848826,1296716,742829,469532,699865,500887,481340,633133,765762,481124,440803,575116,938237,580996,501169,445845,561513,320118,245920,497060,342852,391060,328531,443853,600502,1131014,582622,838582,2489364,835930,623481,383545,375753,654128,389822,515787,584194,489440,338571,276045,366054,339764,299723,294715,642052,855441,425607,802847,972232,356834,509432,729426,495439,600324,734159,464449,409037,577532,404216,402058,419003,381594,324048,766469,391986,420759,498239,420051,477442,335400,362400,655600,518900,517000,402300,273000,257200,152300,527500,356100,379900,176800,459900,488522,597025,372457,209906,184348,261281,250176,299328,277300,282274,372670,372272,466694,442425,445410,371903,429454,248780,185442,263670,188620,207465,231123,214550,254002,287215,253566,240729,207375,278662,320574,320316,395878,381898,511884,392778,390441,210489,356650,307123,220064,341440,329776,539123,334759,196781,318053,307076,224338,297245,186192,339825,971052,432306,312927,357704,199938,225644,150390,243640,191792,241698,263968,262600,227804,141637,245345,292447,202810,291428,354339,448734,835818,426359,443756,345786,335590,241582,205015,426392,320730,201117,178823,135561,237713,137107,164859,194738,167466,240306,206074,171785,150347,395380,241470,169002,136795,232488,196938,198753,272309,221221,383059,303699,258957,303040,268469,896365,443192,275018,187556,65719,274764,390773,278809,229004,364504,263041,301520,330159,292656,314463,252951,311046,388577,381507,268005,595218,298804,174368,397022,455738,581963,973871,423266,304629,295430,792375,411291,255422,211936,212270,277768,273052,224128,413399,263584,493335,360332,324015,335092,224458,263326,430002,196866,204376,297446,331754,412130
"6","ACN","Accenture","Information Technology",2431126,1802086,2840016,3098262,2271348,2910618,1573055,2202783,2499113,1985994,2691614,2584508,2687176,1873641,2368412,2348904,1381344,1810188,1491605,1579621,1793599,2345722,2242773,2102467,1611464,1447728,1421563,1321019,1801311,1721214,2096562,1699427,1806042,1481699,2088805,2600382,2882885,2671068,3040123,5785204,4317868,3514000,3875395,3548239,3284386,5112245,4349451,5076118,6357919,5741835,5324860,6081140,5858322,6338232,6449664,6173727,4684046,4795480,5194360,3802436,2731326,2956536,2973074,3030044,3766617,3089966,3002465,2466219,3743653,1918370,2874967,2504567,3051135,4759062,2511654,2711361,1921217,3027900,2121074,2457808,2160130,2957573,2740796,2064179,1710855,1621909,1474938,2295363,1778596,2013769,1912253,2349306,2773299,3630025,2254666,1784090,2294760,1372961,1317507,2408717,2000474,2280638,2535390,1530749,1939145,1605416,2451436,2537902,1626898,2269473,2076570,4046634,2590091,2310793,2153965,1594775,2227265,3710043,2453578,2203796,2752563,4689669,3348420,2247887,3136355,2125991,2003413,1934517,1783774,1750701,1756734,1373649,2089958,1747824,2193526,1408354,2069734,1371783,1546138,1488034,1444898,1542280,1523192,1422267,1474142,1408580,1495514,1631729,1260453,1155421,1318042,1275413,1315745,1757172,1512854,1745756,1130457,1393451,1475804,1671516,1279294,1976079,1293235,1501748,2322181,1295301,1212222,2001139,1914529,1702838,2350609,1946413,2361218,1670232,2024101,1301052,1576394,1297452,1800765,2002494,3676439,2305943,1786180,2688126,4828701,3691103,2587689,2589025,2250157,1928782,1936069,1446008,2286278,2005752,1394410,1312471,1524276,1634008,1443841,1273410,1796451,1904489,1783836,1701797,1661281,1187637,2162125,1567844,2412275,1499126,1972663,2087153,1544039,1724972,1954847,1417555,3052075,2818014,1757203,1672162,1456207,1631516,1318080,1613201,1611716,1771895,1288696,1825083,1433966,888139,2441581,1973638,1671131,1552320,1852700,1973409,1825620,2201530,1873986,1839033,2412569,2415774,2247981,4855599,5948251,2680524,1602940,1455854,528132,1051429,1065161,992768,1325331,2505131,1809333,2535648,2068188,2010661,1745183,1874934,1870727,2253238,1915109,2249461,2081643,1625568,2049627,1921644,1345509,1833069,1794214,2494447,1559691,2007709,2470492,1702175,1497684,1508696,1542437,1425420,1285423,1219178,1606694,1880034,1664305,2038413,1474943,2191308,2476293,2065145,2620982,1954679,2099800,2114420,2590392,3236464
"7","ATVI","Activision Blizzard","Communication Services",5189778,4466831,4911322,4930894,5022348,7767809,4425050,4526931,7311520,5703328,7185596,8752814,6774706,6110151,5297196,7688779,6420173,5644292,4339829,5287128,8184161,4825357,6653690,5985924,9591480,12936107,5279576,5350588,5244177,3642361,4242634,5317895,4865969,4219722,3476886,6101950,10451760,8275104,9014174,10456176,9483090,9825852,7306474,6978477,9745151,13169610,15378111,10531438,11644179,9942981,10456782,10799604,14547229,10151169,12916122,19601590,14885479,11194741,9994827,8513697,9311318,10128828,7315683,8032936,7150304,10077434,14929015,7420277,8404908,8054734,7156436,9411348,11276045,10942338,5110247,7782687,6690149,5900153,7315817,6135258,7912156,8572624,9895100,5103496,7778103,15461915,21709490,8653066,6089228,9285199,8921039,8807713,6749221,5854174,8495178,5509676,6231063,9522924,5161359,11628604,13218568,7899909,11437088,4931853,6518530,10519782,7629965,8620317,6941441,6245192,9106784,7808023,5921437,6494643,6360259,12763570,7270416,10385245,5243074,4472169,7744934,6157310,11572670,5099362,6535740,10189869,5170981,6041824,6038830,4863400,6005740,6071116,7437572,4875560,6994327,4950149,6241468,5515745,5249708,2937364,5963149,4371429,3777232,3637146,2957601,4034047,8923266,8589596,16110332,12559789,9586305,9181875,8018241,9095695,6200326,5329083,9390035,6935276,4479265,5566091,5604107,5102134,4281857,3658992,7046351,4221334,4646739,6269549,5955106,7125069,7996811,8947258,11025002,6984702,8457979,6024537,6221811,6501143,4996733,7609525,9409432,6293228,6237487,5849101,5023697,4954328,3838053,4829970,7454960,6035872,8789527,5561114,4886976,5421275,5492097,5433235,6724619,5270342,5516890,3864132,4683982,4463197,3366040,5305066,4344010,4303407,4235527,5469669,5910440,9877153,11979403,7306645,6820353,8632891,6581667,7576545,13716606,8658862,5510993,4881896,5596410,7876961,6210318,9287224,8750739,6731817,6953471,7236084,4823084,3382461,15235004,5780820,4780605,4860022,6414285,6731026,6740344,11116610,8503317,5864152,7506401,5946788,6969291,6796917,14075337,7303993,5085628,4728622,2269128,4363316,3741661,2689601,4311046,7423069,4544124,7422072,6142356,4409111,6686098,5384589,4223695,5466345,8461531,5711938,5703422,4488880,3755094,5373544,6424329,12152861,6685594,7025489,4271063,5770687,6666753,8296533,17047813,5969783,5281540,4738625,3306464,3023802,3772975,3725110,5088824,4369531,6107421,6238398,5925696,5358195,6351746,5135795,3984976,5283214,5777192,8348705
"8","ADBE","Adobe Inc.","Information Technology",1990496,1579371,1875122,2507261,2248531,1626380,1481141,1773390,2274687,2213374,2439600,2536157,2113656,1600485,2084658,1640163,2652030,2270756,1523203,1834931,3692938,2693989,3052967,2463385,2224882,2092872,2427076,2005005,2355797,1917119,1690561,2074715,2580455,3789340,2743135,3924013,4188112,3494105,4737676,6469131,5398135,4204501,4146282,3199006,5622911,5291910,5973672,4874326,7230152,8935220,7140139,6189140,7278981,6023835,7461753,6016822,6592213,4830363,4534399,4862124,4340463,6414549,3902957,3590071,3934718,5145092,5422270,4002545,3300177,1838954,3858854,2818631,3918632,3342418,2771970,3548202,2231819,2120251,2146162,2375636,3895571,5006415,3902173,2578615,2372392,2377555,2319702,2466063,2548366,2266282,2071782,3365501,2752031,2626904,2352319,2753685,2824862,2261384,1688159,3525983,3553278,2904450,5937467,2035186,2509555,2537092,2422986,2793982,2592963,2279327,3611582,4123651,8332571,3783968,3766685,2112320,2578409,3931569,3156280,3065927,3329423,2275241,3829731,2623877,2945149,2582693,2503351,2761224,2684565,1999229,2270019,3676513,3480659,5667042,2566712,2678060,2568205,3494815,2017838,1400685,2313874,1901029,1621956,1463467,1489294,1448955,2035254,2076479,2622566,2353535,2362002,3289685,1837078,1900223,2224424,2028199,1111145,1553102,2097690,2439150,2484983,2645579,1840607,3967365,7780346,3631779,1926261,2346705,2422061,2783438,5837638,3900326,4533544,3312148,4248135,4414226,4463826,5682447,8472420,4560776,7182302,3913745,2629133,2671337,2838781,2541114,2844778,2043887,3508159,2264603,2780946,1984130,2041545,2025769,1590732,1853780,3149650,2438132,2033159,2043107,2441382,1931403,1454449,1369735,2615048,1899599,2337431,1896459,2677304,2125281,3128709,2479005,1758640,4524341,2400994,1956305,3625298,4920340,2634159,2115319,2966003,2522187,2407597,2063159,3132704,1851107,2371433,2555094,2634472,1815490,2786955,2517237,2107080,3062675,2749793,3441683,2175673,3449121,3922009,3561554,3945198,2559319,2555596,2178354,4667387,2412884,1701985,1428583,589182,1500555,1434200,1529878,1462236,3612949,2010099,4156589,2901232,2266132,2383254,2958455,2105915,3508273,3200352,4419205,3858988,2771772,2534274,2697405,2363124,3586353,3000726,3061106,2554774,3000110,2146948,2005114,1675141,1727272,1565088,1745020,1609829,1450621,1846163,2065231,1803375,2720714,2479551,4164345,3390646,3232601,3125285,2358980,2211002,2808148,4486442,4614971
"9","AAP","Advance Auto Parts","Consumer Discretionary",944940,566975,879926,1132189,825747,1177403,1416121,2138699,1568390,1208806,676992,817440,797257,1204275,1312558,1277148,937306,923959,913387,1018336,1280660,1014225,822290,1199448,872960,895481,780802,558072,595135,949735,1122549,2881732,1015558,671589,791801,1199439,1565675,1164794,996953,1909204,1402992,1240964,861315,1157098,1207701,1736731,1322544,2077526,1721077,1251555,1415935,1475383,1648467,1185027,1548516,1476033,1668216,1166694,1713828,761501,1046394,1265511,1163413,3036856,1148415,1378255,1255787,680939,1137175,1175493,922510,835088,1139516,949648,941394,777903,751174,895340,1011420,774436,775977,938307,749984,501702,460334,440093,683793,904505,911524,851167,1010563,1178718,1385450,1307719,1806581,3755568,1216344,1511885,682585,813429,815160,1069908,1324343,840953,540323,519287,498438,929252,920410,717052,864889,942913,682668,1073983,1018940,1382706,588179,1042947,1790619,1210308,1073150,920552,1079432,676471,746130,709684,466993,841342,798984,1361165,543048,614914,1063908,1069819,912033,941403,386516,417696,756119,493774,762497,755822,771343,808628,1249364,1351101,829005,498280,400032,856652,396388,1424499,595475,764780,682477,686316,1130346,2036257,2563582,1289456,1080185,697136,636523,525206,575647,473191,611633,1242127,634773,635551,591171,589124,1197958,715902,418734,493895,785874,496848,512761,630687,717121,854832,1244898,618939,1115910,778626,726432,610385,546651,649657,487318,556697,837176,1065766,404441,840379,720357,753378,581757,697471,477153,603810,614381,884466,621817,543555,618970,775596,687883,719887,821962,1010896,847769,791888,544222,725613,1877573,1716629,1132652,1091720,1074021,1306315,1073190,881598,1706664,1334406,1087760,1114791,795153,460504,1521691,1257080,1279859,646180,607679,985880,1135287,1275343,841438,906915,961877,1050425,1242717,1347849,1478296,1075179,780419,606553,308013,863179,704278,599643,621014,849103,619515,1583996,993180,864474,1186264,1099004,880791,879845,907069,951302,497308,472060,660132,1847073,824708,3368420,1634734,1292829,1671692,1567097,1226912,852725,877852,957805,709241,966802,1538369,847132,1932960,1588974,1584468,918323,952128,906173,948799,870102,922874,814464,847373,757550,862943,817165
"10","AMD","Advanced Micro Devices","Information Technology",80764599,73362157,48176286,59935556,53868957,76649637,44215594,33743618,38694180,40199943,58898926,57722501,48403014,40772219,40135442,80004909,48878578,62343844,112559197,70460163,60322431,47076956,46302078,42737104,48670617,53107582,60971719,74719054,45994933,51640035,52365370,70346387,58597294,74203373,88553374,86624116,88699382,86897680,106416222,100667707,102324726,141972288,93311779,98302748,124590861,80859774,76228247,102319010,107461521,86689681,84545868,92741881,106163124,88939024,106859502,101704663,106794151,93760389,73915608,74599218,68486602,83483749,92083081,79024133,79334966,82293964,102098689,64930779,80357393,64290112,85306750,83814033,103106456,76908783,72367258,123906390,63164076,69662688,72854752,62568062,80501820,110800859,65543944,69562656,62590577,56560532,48138123,48956641,40774186,68746373,55631098,76824714,73813999,66950863,48679061,60388543,50888191,48496114,43524110,51618865,102414487,53754227,64948312,36949860,42855210,46765332,44869090,53908273,39681749,79919140,78719416,78715402,71189070,56740683,50949745,45146545,40354724,52801461,44704781,48089011,53535548,51129614,65485729,49905813,42275739,32372675,29082825,36790229,32153104,35609484,87216465,59877388,57743221,54890114,42376779,36887082,34710407,44710211,44337135,135159420,106829109,205314531,107918075,94181374,132969679,80286888,71699667,42628817,155676106,65737306,53961739,66543157,70536143,77877661,88607829,57407355,42389477,31210082,30970483,37507391,42948860,48280318,38036068,49234399,47157273,42194222,40723268,90655945,56117100,50366918,87462687,82267760,54955672,54163878,51499396,54762990,47448681,57874428,38445668,55619100,51082857,61311970,56044742,42327514,57540926,48206242,48005488,61633672,51533664,52177123,52855053,47056522,52725432,43045723,54240704,80354389,47669699,42764096,40446735,33696414,31474294,36689114,38219415,36426409,38006798,46557675,69423675,156669494,76529910,52784087,51426174,45760659,41231803,66579711,46542267,53829936,58580684,67137196,44611250,37303106,30448461,38640842,29473512,29967958,50116759,35008427,46504964,36297944,41349727,22717638,84482979,58200308,57988822,35859716,45570273,39815654,33907510,52170379,33804412,28368145,48026426,57305100,34909037,32023734,51823103,47093891,35717836,25993348,16705909,30512512,31748211,25844973,24930684,51802552,34207989,51911657,42897157,39816400,48669103,67435038,60712896,53408241,49340338,45115055,35185810,54596079,71294707,55086943,59449053,73341193,47048362,56735828,42359344,33671407,32312885,30791641,30268677,47639887,37378124,42232296,35571025,38538353,35105917,32154497,35624948,29548273,36686163,49720914,40821150,54275246,48815557,32746181,34828157,43541041,60549371,58548912
