"","date","mean_ind","mean_health","mean_info","mean_comm","mean_con","mean_ut","mean_fin","mean_mat","mean_rlest","mean_constpl","mean_nrg"
"1",2020-01-02,2964523.21126761,2203197.24193548,5132210.89333333,6106406,3479173.37704918,2594068.92857143,3504624.32307692,3440412.25,2258445.3,3607162.03225806,5386009.04347826
"2",2020-01-03,3006022.30985915,1986718.32258065,4581922.76,5568768.26923077,3402067.72131148,2299406,3331079.26153846,3350304.89285714,1698712.56666667,3308521.80645161,6826260.69565217
"3",2020-01-06,3366191.1971831,2253483.77419355,4730358.58666667,6613830.19230769,3656030.44262295,2318640.57142857,3417227.46153846,3328470.85714286,1533770.86666667,3764738.96774194,7931946.95652174
"4",2020-01-07,2720548.67605634,2327263.53225806,5313787.66666667,6362928.23076923,3855342.19672131,2337823.39285714,3277385.72307692,3676144.57142857,1657692.43333333,3700957.67741935,7996409
"5",2020-01-08,2675068.01408451,2624312.17741935,5095555.49333333,7157416.30769231,4074924.26229508,2568252.5,3866306.16923077,2786666.78571429,1779638.66666667,3954678.70967742,7399991.39130435
"6",2020-01-09,2267056.92957746,2499335.66129032,5182263.73333333,6522376.42307692,4179745.16393443,2193484.28571429,3493590.21538462,2478335.46428571,1436807.43333333,3847754.77419355,7343481.17391304
"7",2020-01-10,2530977.23943662,2115463.59677419,4420663.89333333,5276646.53846154,3244351.68852459,2420549.03571429,3207006.98461538,2243819.25,1795346.5,3153901.77419355,5788201.13043478
"8",2020-01-13,2511905.81690141,2665733.40322581,4565954.50666667,6063426.96153846,3629778.8852459,2199418.39285714,3762018,3020902.71428571,1846910.53333333,3603791.87096774,5716541.82608696
"9",2020-01-14,2568030,3454258.27419355,4836758.05333333,6164992.11538462,3587258.16393443,2497946.89285714,5271339.76923077,3264983.78571429,1637362.93333333,3848931.87096774,6885759.52173913
"10",2020-01-15,2369286.54929577,2645344.72580645,4486152.72,5069905.26923077,3918104.39344262,2238433.35714286,5097992.18461538,2522561.39285714,1651838.96666667,3340694.83870968,5377749.34782609
"11",2020-01-16,2376470.1971831,2301164.46774194,4741906.36,6607864.61538462,3518081.08196721,2303032.14285714,4933216.24615385,2819048.75,1464463.03333333,3056063.35483871,5821166.34782609
"12",2020-01-17,3066890.6056338,3011070.77419355,5951847.44,7656933.88461538,3883355.39344262,2771913.03571429,5029653.4,3314576.39285714,1997549.6,4438681.87096774,6749430.2173913
"13",2020-01-21,3204515.67605634,2974080.5,5538407.44,7752898.84615385,4391251.04918033,3089658.07142857,4524655.61538462,3430261.67857143,1919342.4,4325193.93548387,8138640.69565217
"14",2020-01-22,2920902.36619718,2507275.12903226,4839342.08,7182987.80769231,3522574.72131148,2810852.32142857,3829060.2,3083538.5,1618420.96666667,3211153,6747512.86956522
"15",2020-01-23,3190287.22535211,2983143.4516129,5049891.34666667,7514246.88461538,4394718.44262295,2496774.07142857,4200562.2,4128545.5,1412667.4,3409263.87096774,7852017.17391304
"16",2020-01-24,2975927.12676056,3306590.66129032,6235881.89333333,8200144.23076923,4075706.68852459,2251790.46428571,4543853.47692308,3138561.25,1468377.1,3203636.19354839,6690286.2173913
"17",2020-01-27,3192785.18309859,3089437.77419355,5623606.29333333,7063827.57692308,4488518.55737705,2256206.32142857,4535926.49230769,4378664.39285714,1664504.63333333,3609901.4516129,7991448.08695652
"18",2020-01-28,3128235,3274879.24193548,5125811.84,6064480.84615385,4727393.60655738,2284132.89285714,3813480.35384615,4034841.71428571,1597328.23333333,3325729.58064516,6763726.52173913
"19",2020-01-29,5292669.46478873,2600959.74193548,5970480.66666667,7880058.76923077,4480919.63934426,2067193.21428571,3380281.12307692,2748134.07142857,1739618.6,3013539.74193548,6549066.47826087
"20",2020-01-30,3661901.52112676,3148303.14516129,5782720.58666667,9098866.57692308,4423517.01639344,2287668.17857143,4324324.92307692,4509686.64285714,2028955.4,4214938.64516129,7751458.7826087
"21",2020-01-31,3782941.92957746,3610862.5,6648252.69333333,8373070.03846154,5232075.1147541,3433884.17857143,5369574.64615385,6082295.39285714,2888873.13333333,5054630.16129032,9952310.34782609
"22",2020-02-03,2727858.66197183,3308668.38709677,5221116.69333333,7550023.19230769,5223735.75409836,2424896.92857143,3963044.44615385,4305445.89285714,2550403.63333333,3847681.67741935,7356113.2173913
"23",2020-02-04,2694661.21126761,3177495.48387097,5247227.53333333,8017971.65384615,6210939.55737705,2827704.64285714,4092456.12307692,4157377.17857143,1911874.1,3917561.61290323,8109911.69565217
"24",2020-02-05,2622835.8028169,3753365.5,5375434.68,7256027.34615385,6475655.09836066,2466296.10714286,4423806.70769231,4260558.10714286,1722956.96666667,3810014.74193548,7714313.43478261
"25",2020-02-06,2694481.12676056,3218768.37096774,4647530.69333333,8945028.11538462,4819032.96721311,2231238.82142857,3851865.73846154,3459309.71428571,1337764.8,3926597.70967742,5103319.73913043
"26",2020-02-07,2719802.46478873,3042841.01612903,4951573.94666667,6947254.96153846,5006064.85245902,1975867.64285714,3133725.01538462,2770064.82142857,1355367.66666667,3268021.5483871,5196066.95652174
"27",2020-02-10,2265801.73239437,2930393.96774194,4902761.70666667,6402912.5,4281529.32786885,1879463.85714286,2876787.07692308,2530968.28571429,1536989.16666667,2978867.16129032,6101274.73913043
